substrate	smiles	d_substrate	d_smiles	nme_substrate	nme_smiles	nme_d_substrate	nme_d_smiles
N5-cis-anhydromevalonyl-N5-hydroxyornithine	O=C(/C=C(/C)\CCO)N(O)CCC[C@H](N)C(=O)O	D-N5-cis-anhydromevalonyl-N5-hydroxyornithine	O=C(/C=C(/C)\CCO)N(O)CCC[C@@H](N)C(=O)O	NMe-N5-cis-anhydromevalonyl-N5-hydroxyornithine	CN[C@H](C(=O)O)CCCN(O)C(/C=C(/C)\CCO)=O	NMe-D-N5-cis-anhydromevalonyl-N5-hydroxyornithine	CN[C@@H](C(=O)O)CCCN(O)C(/C=C(/C)\CCO)=O
N5-formyl-N5-hydroxyornithine	O=C(O)[C@@H](N)CCCN(O)C=O	D-N5-formyl-N5-hydroxyornithine	O=C(O)[C@H](N)CCCN(O)C=O	NMe-N5-formyl-N5-hydroxyornithine	CN[C@H](C(O)=O)CCCN(O)C=O	NMe-D-N5-formyl-N5-hydroxyornithine	CN[C@@H](C(O)=O)CCCN(O)C=O
N5-hydroxyornithine	ONCCC[C@H](N)C(O)=O	D-N5-hydroxyornithine	ONCCC[C@@H](N)C(O)=O	NMe-N5-hydroxyornithine	CN[C@H](C(O)=O)CCCNO	NMe-D-N5-hydroxyornithine	CN[C@@H](C(O)=O)CCCNO
N5-trans-anhydromevalonyl-N5-hydroxyornithine	O=C(O)[C@@H](N)CCCN(C(/C=C(/CCO)\C)=O)O	D-N5-trans-anhydromevalonyl-N5-hydroxyornithine	O=C(O)[C@H](N)CCCN(C(/C=C(/CCO)\C)=O)O	NMe-N5-trans-anhydromevalonyl-N5-hydroxyornithine	CN[C@H](C(O)=O)CCCN(C(/C=C(/CCO)\C)=O)O	NMe-D-N5-trans-anhydromevalonyl-N5-hydroxyornithine	CN[C@@H](C(O)=O)CCCN(C(/C=C(/CCO)\C)=O)O
N6-hydroxylysine	O=C(O)[C@@H](N)CCCCNO	D-N6-hydroxylysine	O=C(O)[C@H](N)CCCCNO	NMe-N6-hydroxylysine	CN[C@H](C(O)=O)CCCCNO	NMe-D-N6-hydroxylysine	CN[C@@H](C(O)=O)CCCCNO
O-dimethylallyl-L-tyrosine	CC(C)=CCOc1ccc(C[C@H](N)C(O)=O)cc1	D-O-dimethylallyl-L-tyrosine	CC(C)=CCOc1ccc(C[C@@H](N)C(O)=O)cc1	NMe-O-dimethylallyl-L-tyrosine	CN[C@H](C(O)=O)Cc(cc1)ccc1OCC=C(C)C	NMe-D-O-dimethylallyl-L-tyrosine	CN[C@@H](C(O)=O)Cc(cc1)ccc1OCC=C(C)C
O-methyltyrosine	COc1ccc(C[C@H](N)C(O)=O)cc1	D-O-methyltyrosine	COc1ccc(C[C@@H](N)C(O)=O)cc1	NMe-O-methyltyrosine	CN[C@H](C(O)=O)Cc(cc1)ccc1OC	NMe-D-O-methyltyrosine	CN[C@@H](C(O)=O)Cc(cc1)ccc1OC
R-3-hydroxy-3-methylproline	O[C@]1([C@@H](C(O)=O)NCC1)C	D-R-3-hydroxy-3-methylproline	O[C@]1([C@H](C(O)=O)NCC1)C	NMe-R-3-hydroxy-3-methylproline	CN(CC1)[C@H](C(O)=O)[C@]1(C)O	NMe-D-R-3-hydroxy-3-methylproline	CN(CC1)[C@@H](C(O)=O)[C@]1(C)O
R-aza-beta-tyrosine	O=C(O)C[C@@H](N)c1ccc(O)cn1			NMe-R-aza-beta-tyrosine	CN[C@H](CC(O)=O)c1ccc(O)cn1		
R-beta-hydroxyphenylalanine	O[C@@H]([C@H](N)C(O)=O)c1ccccc1	D-R-beta-hydroxyphenylalanine	O[C@@H]([C@@H](N)C(O)=O)c1ccccc1	NMe-R-beta-hydroxyphenylalanine	CN[C@H](C(O)=O)[C@@H](c1ccccc1)O	NMe-D-R-beta-hydroxyphenylalanine	CN[C@@H](C(O)=O)[C@@H](c1ccccc1)O
